,rest_name,rest_category,rest_number,rest_address,rest_location,rest_rating,rest_density
3062,(주)루덴스바이루(Ludens by LU),기타,02  554 6888,서울특별시 강남구 논현동 244번지 ,"[37.5148419, 127.038984]",97.7,48.17
3063,굿필식당,한식,02  445 6893,서울특별시 강남구 일원동 611-1번지 개포공무원8단지아파트 ,"[37.4905458, 127.0750456]",68.78,18
3064,카페 이날( I NAL),한식,02  548 9433,서울특별시 강남구 신사동 501번지 신사미타워 ,"[37.5168194, 127.019828]",69.08,35.78
3065,청담동마녀김밥,김밥(도시락),02  539 3111,서울특별시 강남구 대치동 893번지 롯데캐슬아파트 ,"[37.5047382, 127.0563803]",57.34,98.91
3066,프로마치 강남점,기타,02  566 1613,서울특별시 강남구 역삼동 827-10번지 ,"[37.4962495, 127.0305834]",74.08,83.04
3067,갓포 마코토,일식,02  5459588,서울특별시 강남구 신사동 635-4번지 지미안빌딩 ,"[37.526763, 127.0376871]",66.13,68.83
3068,코난청담,기타,02  543 3133,서울특별시 강남구 청담동 83-12,"[37.5266693, 127.0416788]",96.97,34.73
3069,임프레션,경양식,02  69253133,서울특별시 강남구 신사동 649-7번지 아크로스 빌딩 ,"[37.526763, 127.0376871]",96.29,3.86
3070,밤부컬렉션(BAMBU COLLECTION),기타,02  69188205,서울특별시 강남구 삼성동 44-17,"[37.5119488, 127.0487941]",57.84,8.98
3072,카와세미,일식,02  546 0887,서울특별시 강남구 신사동 651-8번지 하늬솔빌딩 ,"[37.5231914, 127.0365459]",51.33,35.22
3073,데칸트,기타,02  543 8425,서울특별시 강남구 청담동 81-11번지 데이라이트빌딩 ,"[37.525828, 127.0449343]",86.54,56.82
3074,스시마츠모토,일식,02 546 7317,서울특별시 강남구 청담동 97-8,"[37.5245432, 127.0459553]",55.21,56.08
3075,벨라비타 컨벤션,뷔페식,02  564 7031,서울특별시 강남구 역삼동 680번지 역삼아모제SK리더스뷰 ,"[37.5085708, 127.0393263]",84.72,72.67
3076,느린마을양조장 선릉역점,한식,02  555 6985,서울특별시 강남구 대치동 889-71번지 원동방빌딩 ,"[37.5035806, 127.051246]",97.68,4.3
3077,정돈 강남점,일식,02  60130924,서울특별시 강남구 역삼동 811-4,"[37.5035911, 127.0269451]",79.12,79.18
3079,플래티넘양조주택,외국음식전문점(인도태국등),02  20888824,서울특별시 강남구 대치동 997-4번지 메디톡스빌딩 ,"[37.509329, 127.0664515]",90.42,3.07
3080,풍국면 강남직영점,한식,02  566 1144,서울특별시 강남구 역삼동 823-14번지 ,"[37.497554, 127.0319893]",57.06,64.64
3081,홍수계찜닭 코엑스점,한식,02  554 7005,서울특별시 강남구 삼성동 159번지 호텔오크우드프리미어 ,"[37.51092999999999, 127.058103]",94.95,98.82
3082,주식회사송옥엔 청담점,한식,02  34472500,서울특별시 강남구 청담동 11-17번지 ,"[37.52225079999999, 127.0471553]",61,89.43
3083,리윤 스시이토,일식,02  545 2030,서울특별시 강남구 신사동 656-15 JLJ빌딩,"[37.52491819999999, 127.0375345]",96.86,18.54
3085,로라방앗간 강남역삼점,분식,02  566 0110,서울특별시 강남구 역삼동 837-13번지 ,"[37.4916887, 127.0318343]",95.38,74.15
3086,라운지 어반,경양식,02  540 0339,서울특별시 강남구 신사동 507-8번지 ,"[37.5195222, 127.0199406]",81.61,47.29
3087,바나프레소 강남점,기타,02  18111111,서울특별시 강남구 역삼동 826-37번지 쌍용플래티넘밸류 ,"[37.4954056, 127.0304109]",89.62,60.75
3088,모어스 일렉트로라운지 강남점,기타,02  21170565,서울특별시 강남구 논현동 164-7번지 ,"[37.5077997, 127.0234339]",80.79,40.63
3089,연안식당,한식,02  919 3158,서울특별시 강남구 일원동 666-2번지 ,"[37.4897913, 127.0837116]",81.48,39.61
3091,더블유더블유역삼본점,경양식,02  521 9025,서울특별시 강남구 역삼동 736-1번지 캐피탈타워 ,"[37.499794, 127.0350214]",65.01,40.86
3092,더블유더블유역삼역일호점,경양식,02  521 3570,서울특별시 강남구 역삼동 736-58번지 대세빌딩 ,"[37.4992135, 127.0359171]",56.17,7.15
3093,더블유더블유역삼역이호점,경양식,02  521 3570,서울특별시 강남구 역삼동 736-58번지 대세빌딩 ,"[37.4992135, 127.0359171]",86.14,25
3094,더블유더블유역삼역삼호점,경양식,02  521 3570,서울특별시 강남구 역삼동 736-58번지 대세빌딩 ,"[37.4992135, 127.0359171]",90.95,39.13
3095,(주)커피빈코리아 삼성금융플라자점,기타,02  554 7591,서울특별시 강남구 삼성동 142-43번지 삼성금융프라자 ,"[37.5058213, 127.0520751]",63.43,95.06
3096,(주)커피빈코리아 선릉로86길점,기타,02  20518875,서울특별시 강남구 대치동 889-74번지 아름빌 ,"[37.5033772, 127.0506031]",57.33,74.91
3097,(주)커피빈코리아 국기원사거리점,기타,02  552 7106,서울특별시 강남구 역삼동 827-65번지 ,"[37.4960888, 127.0320874]",53.12,95.88
3098,(주)커피빈코리아 매봉역점,기타,02  529 9947,서울특별시 강남구 도곡동 418번지 다명빌딩 ,"[37.4855459, 127.0450486]",85.8,22.31
3099,(주)커피빈코리아 학동역점,기타,02  34449973,서울특별시 강남구 논현동 88-9번지 ,"[37.5146474, 127.0320468]",71.85,44.12
3100,(주)커피빈코리아 역삼역4번출구점,기타,02  508 1137,서울특별시 강남구 역삼동 646-18번지 고운빌딩 ,"[37.5005994, 127.0349658]",76.42,31.99
3101,(주)커피빈코리아 논현동수면센터점,기타,02  34435575,서울특별시 강남구 논현동 34-21번지 ,"[37.5159215, 127.0295236]",98.42,56.87
3102,칙피스(chickpeace),기타,02  69566780,서울특별시 강남구 신사동 540-18번지 ,"[37.5190769, 127.0247078]",93.85,48.36
3103,더블유더블유선릉일호점,경양식,02  521 5214,서울특별시 강남구 역삼동 706번지 위워크타워 ,"[37.50239150000001, 127.0434618]",70.24,41.11
3104,더블유더블유선릉이호점,경양식,02  521 5214,서울특별시 강남구 역삼동 706번지 위워크타워 ,"[37.50239150000001, 127.0434618]",92.1,32.56
3105,더블유더블유선릉삼호점,경양식,02  521 5214,서울특별시 강남구 역삼동 706번지 위워크타워 ,"[37.50239150000001, 127.0434618]",51.12,33.99
3106,(주)커피빈코리아 압구정역점,기타,02  34681600,서울특별시 강남구 신사동 599번지 압구정빌딩 ,"[37.5240588, 127.0287209]",50.2,71.77
3107,(주)커피빈코리아 대치한티점,기타,02  557 0510,서울특별시 강남구 대치동 924-9번지 ,"[37.4982571, 127.0541565]",50.97,91.15
3108,(주)커피빈코리아 대치동나무병원점,기타,02  562 9605,서울특별시 강남구 대치동 994-5번지 경희한방병원 ,"[37.4992302, 127.0676319]",82.65,47.11
3109,(주)커피빈코리아 한티역디마크빌딩점,기타,02  20526590,서울특별시 강남구 대치동 1024번지 디마크 빌딩 ,"[37.4966281, 127.055214]",66.75,12.45
3110,베스트,기타,02  544 4363,서울특별시 강남구 신사동 635-4 지미안빌딩,"[37.526763, 127.0376871]",82.83,55.56
3111,벤시몽(BENSIMON),경양식,02  64071376,서울특별시 강남구 신사동 546-21번지 ,"[37.5223333, 127.0231789]",82.43,24.3
3112,커피온리 봉은사역점,분식,02  69001300,서울특별시 강남구 삼성동 161-17번지 경진빌딩 ,"[37.5136863, 127.062467]",53.42,74.3
3113,마법갈비요술꼬치 역삼점,한식,02  62500900,서울특별시 강남구 역삼동 648-9번지 ,"[37.50003969999999, 127.0320612]",84.61,17.81
3114,소이연남 마오,외국음식전문점(인도태국등),02  335 5130,서울특별시 강남구 신사동 665-9번지 ,"[37.5251232, 127.0389133]",50.98,12.89
3115,타르틴베이커리 도곡SSG점,기타,02  790 3101,서울특별시 강남구 도곡동 467-17번지 타워팰리스 ,"[37.4870736, 127.0529089]",55.64,13.62
3116,(주)더박스 하루점,경양식,02  405 4373,서울특별시 강남구 압구정동 369-1번지 현대아파트 ,"[37.5327343, 127.0280489]",97.05,47.13
3117,라온매니지먼트,기타,02  540 4348,서울특별시 강남구 청담동 119-5번지 테스트설 ,"[37.5248923, 127.0475573]",77.39,64.19
3118,탐앤탐스 청담웨딩홀점,기타,02  34120781,서울특별시 강남구 청담동 3-7번지 서림빌딩 ,"[37.4990285, 127.029901]",53.61,48.06
3119,브릿지앤드,기타,02  34418114,서울특별시 강남구 신사동 637번지 삼영빌딩 ,"[37.5282211, 127.0340708]",62.82,61.22
3120,바오밥나무커피,기타,02  561 0801,서울특별시 강남구 신사동 561-8번지 ,"[37.5193417, 127.024908]",63.83,10.53
3121,남도사계고운님,한식,02  562 9292,서울특별시 강남구 대치동 894-5번지 한정빌딩 ,"[37.5043061, 127.0558774]",64.17,66.31
3122,에이커스,기타,02  22560988,서울특별시 강남구 신사동 555-39번지 ,"[37.5206621, 127.0243025]",74.81,94.93
3123,신라다랑원 강남점,일식,02  34349900,서울특별시 강남구 삼성동 114-44번지 DECKS 빌딩 ,"[37.5113216, 127.0497963]",71.59,61.35
3124,브로일 BROIL 富爐溢,경양식,02  543 7159,서울특별시 강남구 청담동 83-16번지 SG DINEHILL빌딩 ,"[37.5218256, 127.0372801]",59.71,80.89
3125,생활맥주 포스코점,중국식,02  558 5311,서울특별시 강남구 대치동 893 롯데캐슬아파트,"[37.5047382, 127.0563803]",56.24,69.2
3126,(주)담희-1지점,한식,02557 9247,서울특별시 강남구 역삼동 636-7번지 ,"[37.5015068, 127.0316363]",89.41,2.87
3127,(주)도곡본점 해우리,한식,02  501 4997,서울특별시 강남구 도곡동 942-1번지 꿈이룸 명진타워 ,"[37.4897769, 127.0332849]",89.19,80.64
